lambda|psi_deg|delta_deg|n|k|thickness|material
860.0|2.507632583630583|357.83128988468656|1.468547|0.0|50|SiO2
865.0|2.5068786126426623|357.84994542627044|1.468499|0.0|50|SiO2
870.0|2.506142640872367|357.868282415605|1.468452|0.0|50|SiO2
875.0|2.5054193226496206|357.8865138893814|1.468405|0.0|50|SiO2
880.0|2.504718114397142|357.90421835914526|1.46836|0.0|50|SiO2
885.0|2.5040288324248445|357.92181951060223|1.468315|0.0|50|SiO2
890.0|2.50335123209441|357.9393170230537|1.46827|0.0|50|SiO2
895.0|2.502694482786331|357.95629409861573|1.468227|0.0|50|SiO2
900.0|2.5020487427137126|357.9731700615596|1.468184|0.0|50|SiO2
905.0|2.5014183934861034|357.989737976121|1.468142|0.0|50|SiO2
910.0|2.5008030715499103|358.0059999636609|1.468101|0.0|50|SiO2
915.0|2.5001979143517254|358.0221634590763|1.46806|0.0|50|SiO2
920.0|2.4996071797428705|358.0380238865146|1.46802|0.0|50|SiO2
925.0|2.4990305298078543|358.0535834685684|1.467981|0.0|50|SiO2
930.0|2.498463265887544|358.0690475094862|1.467942|0.0|50|SiO2
935.0|2.497909526813378|358.08421375136066|1.467904|0.0|50|SiO2
940.0|2.4973647179512337|358.099286077118|1.467866|0.0|50|SiO2
945.0|2.4968371373661626|358.11386290101876|1.46783|0.0|50|SiO2
950.0|2.4963137746165516|358.128549119633|1.467793|0.0|50|SiO2
955.0|2.495807047361034|358.1427445269863|1.467758|0.0|50|SiO2
960.0|2.495304214267243|358.15704968062977|1.467722|0.0|50|SiO2
965.0|2.4948174501212868|358.17086877354285|1.467688|0.0|50|SiO2
970.0|2.4943383027668844|358.1846008180231|1.467654|0.0|50|SiO2
975.0|2.493866626302681|358.1982460565091|1.46762|0.0|50|SiO2
980.0|2.493406227108304|358.21160895326034|1.467587|0.0|50|SiO2
985.0|2.4929568494950938|358.22469192379737|1.467555|0.0|50|SiO2
990.0|2.4925143721200222|358.2376917635274|1.467523|0.0|50|SiO2
995.0|2.4920786649089313|358.2506087719898|1.467491|0.0|50|SiO2
1000.0|2.491653398009869|358.2632502933172|1.46746|0.0|50|SiO2
1004.9999999999999|2.4912345765169257|358.2758110276064|1.467429|0.0|50|SiO2
1010.0|2.4908258050038325|358.2880997344369|1.467399|0.0|50|SiO2
1014.9999999999999|2.490423170165132|358.3003097235429|1.467369|0.0|50|SiO2
1020.0|2.4900302126405327|358.31225115396416|1.46734|0.0|50|SiO2
1025.0|2.4896430982266815|358.32411595334224|1.467311|0.0|50|SiO2
1030.0|2.48926530522228|358.335715664381|1.467283|0.0|50|SiO2
1035.0|2.4888930761243526|358.34724084155124|1.467255|0.0|50|SiO2
1040.0|2.488526309743489|358.3586918568648|1.467227|0.0|50|SiO2
1045.0|2.488168393043376|358.36988230398265|1.4672|0.0|50|SiO2
1050.0|2.4878156786345906|358.38100070055225|1.467173|0.0|50|SiO2
1055.0|2.487471494916521|358.3918619851114|1.467147|0.0|50|SiO2
1060.0|2.4871322656595756|358.40265332702484|1.467121|0.0|50|SiO2
1065.0|2.486797902524052|358.41337511503883|1.467095|0.0|50|SiO2
1070.0|2.4864716480938|358.42384428139854|1.46707|0.0|50|SiO2
1075.0|2.48615002838616|358.4342459981092|1.467045|0.0|50|SiO2
1080.0|2.4858329617197783|358.44458065969206|1.46702|0.0|50|SiO2
1085.0|2.485523607978632|358.4546671584218|1.466996|0.0|50|SiO2
1090.0|2.4852185910904665|358.4646886942722|1.466972|0.0|50|SiO2
1095.0|2.4849210178659864|358.47446544450224|1.466949|0.0|50|SiO2
1100.0|2.4846244213993485|358.4843588861255|1.466925|0.0|50|SiO2
1105.0|2.4843350664971613|358.49400961541585|1.466902|0.0|50|SiO2
1110.0|2.48405279979097|358.50341993399576|1.46688|0.0|50|SiO2
1115.0|2.4837713279424523|358.5129474945596|1.466857|0.0|50|SiO2
1120.0|2.4834967552489906|358.52223669297734|1.466835|0.0|50|SiO2
1125.0|2.4832259181572036|358.53146623402716|1.466813|0.0|50|SiO2
1130.0|2.482961745830575|358.5404606933377|1.466792|0.0|50|SiO2
1135.0|2.4827011321751153|358.5493975143882|1.466771|0.0|50|SiO2
1140.0|2.482444017329928|358.55827708298557|1.46675|0.0|50|SiO2
1145.0|2.4821903426412493|358.5670997858566|1.466729|0.0|50|SiO2
1150.0|2.4819429421314276|358.57569263575385|1.466709|0.0|50|SiO2
1155.0|2.4816988190207496|358.5842306004289|1.466689|0.0|50|SiO2
1160.0|2.4814579190026653|358.592714058407|1.466669|0.0|50|SiO2
1165.0|2.481220188850906|358.6011433884257|1.466649|0.0|50|SiO2
1170.0|2.4809883718371366|358.60934798535004|1.46663|0.0|50|SiO2
1175.0|2.480759574806706|358.6175003909678|1.466611|0.0|50|SiO2
1180.0|2.4805337484634333|358.62560097404867|1.466592|0.0|50|SiO2
1185.0|2.480313570974945|358.63348087828797|1.466574|0.0|50|SiO2
1190.0|2.480093519517078|358.6414795010923|1.466555|0.0|50|SiO2
1195.0|2.4798789787388666|358.6492593339825|1.466537|0.0|50|SiO2
1200.0|2.4796671773714243|358.6569899588389|1.466519|0.0|50|SiO2
1205.0|2.4794607099188615|358.6645048081911|1.466502|0.0|50|SiO2
1210.0|2.4792542351243374|358.6721386525836|1.466484|0.0|50|SiO2
1215.0|2.4790529667285646|358.6795585599214|1.466467|0.0|50|SiO2
1220.0|2.478854225637377|358.68693179820264|1.46645|0.0|50|SiO2
1225.0|2.4786579719433437|358.6942587104925|1.466433|0.0|50|SiO2
1230.0|2.4784641664986626|358.70153963869603|1.466416|0.0|50|SiO2
1235.0|2.4782752848849676|358.7086113567941|1.4664|0.0|50|SiO2
1240.0|2.4780887356501062|358.7156388682703|1.466384|0.0|50|SiO2
1245.0|2.4779044825075407|358.7226225019665|1.466368|0.0|50|SiO2
1250.0|2.4777224898521237|358.7295625853498|1.466352|0.0|50|SiO2
1255.0|2.4775427227451994|358.7364594444528|1.466336|0.0|50|SiO2
1260.0|2.4773675637599126|358.7431525503263|1.466321|0.0|50|SiO2
1265.0|2.477194524862852|358.7498041466805|1.466306|0.0|50|SiO2
1270.0|2.4770211940862454|358.7565743352859|1.46629|0.0|50|SiO2
1275.0|2.476854678358502|358.7629840592552|1.466276|0.0|50|SiO2
1280.0|2.476687807746421|358.7695129957209|1.466261|0.0|50|SiO2
1285.0|2.476522931187518|358.77600166307485|1.466246|0.0|50|SiO2
1290.0|2.476362326100781|358.78229267108793|1.466232|0.0|50|SiO2
1295.0|2.476203620428879|358.7885450522004|1.466218|0.0|50|SiO2
1300.0|2.4760467857584207|358.79475910029095|1.466204|0.0|50|SiO2
1305.0|2.4758917941904666|358.80093510752226|1.46619|0.0|50|SiO2
1310.0|2.4757386183296712|358.8070733643133|1.466176|0.0|50|SiO2
1315.0|2.4755872312736598|358.8131741593146|1.466162|0.0|50|SiO2
1320.0|2.4754398119376138|358.81908313617396|1.466149|0.0|50|SiO2
1325.0|2.475294096287183|358.8249562210497|1.466136|0.0|50|SiO2
1330.0|2.4751500593668423|358.8307936888358|1.466123|0.0|50|SiO2
1335.0|2.475007676664139|358.83659581264504|1.46611|0.0|50|SiO2
1340.0|2.474866924100538|358.84236286379354|1.466097|0.0|50|SiO2
1345.0|2.4747277780223826|358.84809511178537|1.466084|0.0|50|SiO2
1350.0|2.474590215192161|358.85379282430034|1.466071|0.0|50|SiO2
1355.0|2.474456307216573|358.8593050586906|1.466059|0.0|50|SiO2
1360.0|2.4743239068937752|358.86478424709117|1.466047|0.0|50|SiO2
1365.0|2.47419299266281|358.8702306436747|1.466035|0.0|50|SiO2
1370.0|2.4740635433370297|358.87564450081925|1.466023|0.0|50|SiO2
1375.0|2.4739355380964883|358.8810260691011|1.466011|0.0|50|SiO2
1380.0|2.4738089564804837|358.8863755972884|1.465999|0.0|50|SiO2
1385.0|2.4736837783803094|358.891693332337|1.465987|0.0|50|SiO2
1390.0|2.4735619756843037|358.89683161412745|1.465976|0.0|50|SiO2
1395.0|2.4734415091719977|358.90193951424413|1.465965|0.0|50|SiO2
1400.0|2.473320396504338|358.90716425144456|1.465953|0.0|50|SiO2
1405.0|2.4732025604665386|358.9122116317031|1.465942|0.0|50|SiO2
1410.0|2.4730860054342148|358.91722932916974|1.465931|0.0|50|SiO2
1415.0|2.4729707136803465|358.92221757244175|1.46592|0.0|50|SiO2
1420.0|2.472858577203499|358.9270314140902|1.46591|0.0|50|SiO2
1425.0|2.472745746792345|358.93196187421296|1.465899|0.0|50|SiO2
1430.0|2.472634128378208|358.9368635529691|1.465888|0.0|50|SiO2
1435.0|2.4725255755782913|358.94159282969275|1.465878|0.0|50|SiO2
1440.0|2.4724181762816437|358.94629464480437|1.465868|0.0|50|SiO2
1445.0|2.4723100701375116|358.9511121757177|1.465857|0.0|50|SiO2
1450.0|2.472204943732251|358.9557592644295|1.465847|0.0|50|SiO2
1455.0|2.4721009245533465|358.9603795216991|1.465837|0.0|50|SiO2
1460.0|2.4719979977215027|358.9649731534479|1.465827|0.0|50|SiO2
1465.0|2.4718979438573814|358.9693991206554|1.465818|0.0|50|SiO2
1470.0|2.471797145991103|358.9739405374748|1.465808|0.0|50|SiO2
1475.0|2.471697397394651|358.9784559343172|1.465798|0.0|50|SiO2
1480.0|2.471600443585068|358.9828055351768|1.465789|0.0|50|SiO2
1485.0|2.471502740240324|358.98726990658645|1.465779|0.0|50|SiO2
1490.0|2.4714077813146944|358.9915697074495|1.46577|0.0|50|SiO2
1495.0|2.471313794422221|358.9958451008718|1.465761|0.0|50|SiO2
1500.0|2.471220766835595|359.00009627306207|1.465752|0.0|50|SiO2
1505.0|2.4711286860307418|359.0043234086879|1.465743|0.0|50|SiO2
1510.0|2.4710375396830333|359.0085266908838|1.465734|0.0|50|SiO2
1515.0|2.470947315663507|359.0127063012585|1.465725|0.0|50|SiO2
1520.0|2.470858002035244|359.0168624199039|1.465716|0.0|50|SiO2
1525.0|2.4707695870497983|359.02099522540306|1.465707|0.0|50|SiO2
1530.0|2.470683706651719|359.024969000128|1.465699|0.0|50|SiO2
1535.0|2.4705970438272806|359.02905610526716|1.46569|0.0|50|SiO2
1540.0|2.4705128719936167|359.03298531735965|1.465682|0.0|50|SiO2
1545.0|2.470427916909225|359.03702741020464|1.465673|0.0|50|SiO2
1550.0|2.4703454103084335|359.040912733542|1.465665|0.0|50|SiO2
1555.0|2.4702637153929032|359.0447765555065|1.465657|0.0|50|SiO2
1560.0|2.4701828219222652|359.0486190382632|1.465649|0.0|50|SiO2
1565.0|2.4701027198139998|359.0524403425982|1.465641|0.0|50|SiO2
1570.0|2.4700233991405245|359.0562406279276|1.465633|0.0|50|SiO2
1575.0|2.469944850126444|359.0600200523073|1.465625|0.0|50|SiO2
1580.0|2.4698670631457587|359.0637787724421|1.465617|0.0|50|SiO2
1585.0|2.4697900287191885|359.0675169436951|1.465609|0.0|50|SiO2
1590.0|2.4697152641821027|359.07110344250134|1.465602|0.0|50|SiO2
1595.0|2.469639697524669|359.07480134851556|1.465594|0.0|50|SiO2
1600.0|2.469566363749496|359.0783486256939|1.465587|0.0|50|SiO2
1605.0|2.4694922289823382|359.0820068643487|1.465579|0.0|50|SiO2
1610.0|2.469420290972294|359.08551550493087|1.465572|0.0|50|SiO2
1615.0|2.469347553286831|359.0891346638813|1.465564|0.0|50|SiO2
1620.0|2.4692769770883074|359.09260524285696|1.465557|0.0|50|SiO2
1625.0|2.4692070649013247|359.09605718365736|1.46555|0.0|50|SiO2
1630.0|2.469137808692215|359.0994906244762|1.465543|0.0|50|SiO2
1635.0|2.4690692005462647|359.10290570231433|1.465536|0.0|50|SiO2
1640.0|2.469001232665635|359.10630255298906|1.465529|0.0|50|SiO2
1645.0|2.4689338973673083|359.1096813111436|1.465522|0.0|50|SiO2
1650.0|2.4688671870811105|359.11304211025634|1.465515|0.0|50|SiO2
1655.0|2.468801094347756|359.1163850826503|1.465508|0.0|50|SiO2
1660.0|2.4687370135297138|359.1195841134925|1.465502|0.0|50|SiO2
1665.0|2.468672125617377|359.1228921705475|1.465495|0.0|50|SiO2
1670.0|2.4686078335991883|359.1261827892584|1.465488|0.0|50|SiO2
1675.0|2.468545507365362|359.1293308831338|1.465482|0.0|50|SiO2
1680.0|2.468482378006186|359.1325873479404|1.465475|0.0|50|SiO2
1685.0|2.4684211845722928|359.13570221756487|1.465469|0.0|50|SiO2
1690.0|2.4683591908152533|359.13892502401796|1.465462|0.0|50|SiO2
1695.0|2.468299103792217|359.1420071537923|1.465456|0.0|50|SiO2
1700.0|2.468239556398585|359.14507325942515|1.46545|0.0|50|SiO2
1705.0|2.468180542383638|359.148123457213|1.465444|0.0|50|SiO2
1710.0|2.468122055585424|359.15115786244513|1.465438|0.0|50|SiO2
1715.0|2.4680627759755245|359.1542991283566|1.465431|0.0|50|SiO2
1720.0|2.4680053330400895|359.157301963479|1.465425|0.0|50|SiO2
1725.0|2.467948399289266|359.1602893475869|1.465419|0.0|50|SiO2
