wl,n
2.20459,1.61180
2.20653,1.61177
2.20848,1.61173
2.21043,1.61170
2.21239,1.61167
2.21435,1.61163
2.21631,1.61160
2.21828,1.61156
2.22025,1.61153
2.22222,1.61149
2.22420,1.61146
2.22618,1.61142
2.22816,1.61139
2.23015,1.61135
2.23214,1.61132
2.23414,1.61128
2.23614,1.61125
2.23814,1.61121
2.24014,1.61118
2.24215,1.61114
2.24417,1.61110
2.24618,1.61107
2.24820,1.61103
2.25023,1.61100
2.25225,1.61096
2.25428,1.61092
2.25632,1.61089
2.25836,1.61085
2.26040,1.61081
2.26244,1.61078
2.26449,1.61074
2.26655,1.61070
2.26860,1.61067
2.27066,1.61063
2.27273,1.61059
2.27480,1.61055
2.27687,1.61052
2.27894,1.61048
2.28102,1.61044
2.28311,1.61040
2.28519,1.61037
2.28728,1.61033
2.28938,1.61029
2.29148,1.61025
2.29358,1.61021
2.29568,1.61017
2.29779,1.61014
2.29991,1.61010
2.30203,1.61006
2.30415,1.61002
2.30627,1.60998
2.30840,1.60994
2.31054,1.60990
2.31267,1.60986
2.31481,1.60982
2.31696,1.60978
2.31911,1.60974
2.32126,1.60970
2.32342,1.60966
2.32558,1.60962
2.32775,1.60958
2.32992,1.60954
2.33209,1.60950
2.33427,1.60946
2.33645,1.60942
2.33863,1.60938
2.34082,1.60934
2.34302,1.60930
2.34522,1.60926
2.34742,1.60922
2.34962,1.60918
2.35183,1.60913
2.35405,1.60909
2.35627,1.60905
2.35849,1.60901
2.36072,1.60897
2.36295,1.60892
2.36518,1.60888
2.36742,1.60884
2.36967,1.60880
2.37192,1.60876
2.37417,1.60871
2.37643,1.60867
2.37869,1.60863
2.38095,1.60858
2.38322,1.60854
2.38550,1.60850
2.38777,1.60845
2.39006,1.60841
2.39234,1.60837
2.39464,1.60832
2.39693,1.60828
2.39923,1.60823
2.40154,1.60819
2.40385,1.60815
2.40616,1.60810
2.40848,1.60806
2.41080,1.60801
2.41313,1.60797
2.41546,1.60792
2.41779,1.60788
2.42014,1.60783
2.42248,1.60779
2.42483,1.60774
2.42718,1.60770
2.42954,1.60765
2.43191,1.60760
2.43427,1.60756
2.43665,1.60751
2.43902,1.60746
2.44141,1.60742
2.44379,1.60737
2.44618,1.60732
2.44858,1.60728
2.45098,1.60723
2.45339,1.60718
2.45580,1.60714
2.45821,1.60709
2.46063,1.60704
2.46305,1.60699
2.46548,1.60694
2.46792,1.60690
2.47036,1.60685
2.47280,1.60680
2.47525,1.60675
2.47770,1.60670
2.48016,1.60665
2.48262,1.60660
2.48509,1.60656
2.48756,1.60651
2.49004,1.60646
2.49252,1.60641
2.49501,1.60636
2.49750,1.60631
2.50000,1.60626
2.50250,1.60621
2.50501,1.60616
2.50752,1.60611
2.51004,1.60606
2.51256,1.60600
2.51509,1.60595
2.51762,1.60590
2.52016,1.60585
2.52270,1.60580
2.52525,1.60575
2.52781,1.60570
2.53036,1.60564
2.53293,1.60559
2.53550,1.60554
2.53807,1.60549
2.54065,1.60543
2.54323,1.60538
2.54582,1.60533
2.54842,1.60527
2.55102,1.60522
2.55363,1.60517
2.55624,1.60511
2.55885,1.60506
2.56148,1.60501
2.56410,1.60495
2.56674,1.60490
2.56937,1.60484
2.57202,1.60479
2.57467,1.60473
2.57732,1.60468
2.57998,1.60462
2.58264,1.60457
2.58532,1.60451
2.58799,1.60446
2.59067,1.60440
2.59336,1.60434
2.59605,1.60429
2.59875,1.60423
2.60146,1.60417
2.60417,1.60412
2.60688,1.60406
2.60960,1.60400
2.61233,1.60395
2.61506,1.60389
2.61780,1.60383
2.62055,1.60377
2.62329,1.60371
2.62605,1.60366
2.62881,1.60360
2.63158,1.60354
2.63435,1.60348
2.63713,1.60342
2.63992,1.60336
2.64271,1.60330
2.64550,1.60324
2.64831,1.60318
2.65111,1.60312
2.65393,1.60306
2.65675,1.60300
2.65957,1.60294
2.66241,1.60288
2.66525,1.60282
2.66809,1.60276
2.67094,1.60270
2.67380,1.60263
2.67666,1.60257
2.67953,1.60251
2.68240,1.60245
2.68528,1.60238
2.68817,1.60232
2.69107,1.60226
2.69397,1.60220
2.69687,1.60213
2.69978,1.60207
2.70270,1.60200
2.70563,1.60194
2.70856,1.60188
2.71150,1.60181
2.71444,1.60175
2.71739,1.60168
2.72035,1.60162
2.72331,1.60155
2.72628,1.60149
2.72926,1.60142
2.73224,1.60135
2.73523,1.60129
2.73823,1.60122
2.74123,1.60115
2.74424,1.60109
2.74725,1.60102
2.75028,1.60095
2.75330,1.60089
2.75634,1.60082
2.75938,1.60075
2.76243,1.60068
2.76549,1.60061
2.76855,1.60054
2.77162,1.60047
2.77469,1.60040
2.77778,1.60034
2.78087,1.60027
2.78396,1.60020
2.78707,1.60013
2.79018,1.60005
2.79330,1.59998
2.79642,1.59991
2.79955,1.59984
2.80269,1.59977
2.80584,1.59970
2.80899,1.59963
2.81215,1.59955
2.81532,1.59948
2.81849,1.59941
2.82167,1.59934
2.82486,1.59926
2.82805,1.59919
2.83126,1.59911
2.83447,1.59904
2.83768,1.59897
2.84091,1.59889
2.84414,1.59882
2.84738,1.59874
2.85063,1.59867
2.85388,1.59859
2.85714,1.59851
2.86041,1.59844
2.86369,1.59836
2.86697,1.59828
2.87026,1.59821
2.87356,1.59813
2.87687,1.59805
2.88018,1.59797
2.88351,1.59790
2.88684,1.59782
2.89017,1.59774
2.89352,1.59766
2.89687,1.59758
2.90023,1.59750
